Nom,params,auc_mean,auc_std,nb_epochs,regularisation
_final_AE_rec_10,10,0.46798168909854415,0.01971401555969404,20,"1,00E-06"
_final_AE_iso_10,10,0.16801063512270847,0.1253746683021441,20,"1,00E-06"
_final_AE_oneclass_10,10,0.19937217763168888,0.06671738303662643,20,"1,00E-06"
_nopretrain_AE_rec_2,2,0.2685373463196649,0.022962865450212026,40,"1,00E-06"
_nopretrain_AE_iso_2,2,0.008504976011223771,0.006443594087410617,40,"1,00E-06"
_nopretrain_AE_oneclass_2,2,0.01207899419275699,0.01158643552826604,40,"1,00E-06"
_nopretrain_DSVDD_rec_2,2,0.5011991821751287,0.2517606983624458,40,"1,00E-06"
_nopretrain_DSVDD_iso_2,2,0.4203002149555758,0.2564782235309311,40,"1,00E-06"
_nopretrain_DSVDD_oneclass_2,2,0.4784393116303506,0.23155545699393382,40,"1,00E-06"
_nopretrain_AE_rec_5,5,0.4525512969652386,0.06631057153004682,40,"1,00E-06"
_nopretrain_AE_iso_5,5,0.23115988642448246,0.16773820645431795,40,"1,00E-06"
_nopretrain_AE_oneclass_5,5,0.33613920594343655,0.17363519159686072,40,"1,00E-06"
_nopretrain_DSVDD_rec_5,5,0.45322901185221376,0.19850659298182946,40,"1,00E-06"
_nopretrain_DSVDD_iso_5,5,0.43605886526009874,0.230313217878038,40,"1,00E-06"
_nopretrain_DSVDD_oneclass_5,5,0.4472148707044079,0.14057188099447124,40,"1,00E-06"
_nopretrain_AE_rec_20,20,0.5853838928512427,0.08315452874578785,40,"1,00E-06"
_nopretrain_AE_iso_20,20,0.047453851116937076,0.006663877016617282,40,"1,00E-06"
_nopretrain_AE_oneclass_20,20,0.17447969813632852,0.017803928624185582,40,"1,00E-06"
_nopretrain_DSVDD_rec_20,20,0.5536517253823615,0.17200678408923775,40,"1,00E-06"
_nopretrain_DSVDD_iso_20,20,0.29888693387131166,0.1904781948243094,40,"1,00E-06"
_nopretrain_DSVDD_oneclass_20,20,0.5086605521195079,0.1391179185103495,40,"1,00E-06"
_nopretrain_DSVDD_rec_10,10,0.4341068940197511,0.16871365634686097,20,"1,00E-06"
_nopretrain_DSVDD_iso_10,10,0.30971125207477496,0.17112882022140413,20,"1,00E-06"
_nopretrain_DSVDD_oneclass_10,10,0.40603118026969387,0.18559784514083116,20,"1,00E-06"
_nopretrain_DSVDD_rec_10,10,0.5003788038893515,0.012178114061310807,40,"0,1"
_nopretrain_DSVDD_iso_10,10,0.10347126132203424,0.042755635836619,40,"0,1"
_nopretrain_DSVDD_oneclass_10,10,0.46624979519834275,0.0008228718815602443,40,"0,1"
_nopretrain_DSVDD_rec_20,20,0.4626666065489455,0.06993748516865285,40,"0,1"
_nopretrain_DSVDD_iso_20,20,0.14369108644796696,0.14823893843290983,40,"0,1"
_nopretrain_DSVDD_oneclass_20,20,0.4204617628504509,0.056404378616030336,40,"0,1"
_nopretrain_DSVDD_rec_5,5,0.5973020638755223,0.05118782457243846,40,"0,1"
_nopretrain_DSVDD_iso_5,5,0.3468818612180244,0.19166692573559868,40,"0,1"
_nopretrain_DSVDD_oneclass_5,5,0.5792631173414082,0.02058477365277984,40,"0,1"
_nopretrain_DSVDD_rec_2,2,0.19050874316025043,0.07112984048525321,10,"0,1"
_nopretrain_DSVDD_iso_2,2,0.017873847361628215,0.0014373554381424914,10,"0,1"
_nopretrain_DSVDD_oneclass_2,2,0.10053677593411536,0.04123804336085247,10,"0,1"
