mode,hidden_dim,batch_size,nb_batch,n_epochs,runs,output,known_outliers,real_anomaly,mean_auc,std_auc,nom_algo
unsupervised,20,256,50,30,3,./results/performance_global.csv,10,0,0.02233265761101187,0.012517381348072112,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,30,0,0.012847901868840696,0.0047795527256579385,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,50,0,0.0075284506250656545,0.0009615868858130939,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,70,0,0.01683112483455497,0.008183311414990234,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,90,0,0.16228516678089572,0.008134137630561694,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,110,0,0.1485156460769432,0.019971453619987582,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,130,0,0.11808864594749498,0.017448231072905385,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,150,0,0.18334107064558625,0.011773066162432894,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,170,0,0.1888438613859852,0.0070380833944374156,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,190,0,0.1873690496540096,0.004159100704361578,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,210,0,0.1722223149006095,0.01824857269139728,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,230,0,0.15711756557876652,0.010581865787143614,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,250,0,0.1326384798206596,0.0030231107486849863,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,270,0,0.14119721457049614,0.005732370199427022,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,290,0,0.12543772071033038,0.004127312602635156,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,310,0,0.13431889298166508,0.0027657059498707626,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,330,0,0.12196408754893265,0.007722297205816938,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,350,0,0.13406161440929998,0.0069932560349709036,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,370,0,0.1213640366484315,0.00463492404310791,DEVNET
unsupervised,20,256,50,30,3,./results/performance_global.csv,390,0,0.12348909160253226,0.003144094192172785,DEVNET
